Wk,Day,Date,Time,Home,Home_xG,Score,Away_xG,Away,Attendance,Venue,Referee,Match Report,Notes,game_link,ids,Season,Home_Score,Away_Score
26.0,Sat,2023-10-14,20:00,Cuiabá,0.9,0–0,0.5,Cruzeiro,,Arena Pantanal,Rodrigo José Pereira de Lima,Match Report,,/en/matches/d37e2230/Cuiaba-Cruzeiro-October-14-2023-Serie-A,d37e2230,2023,0,0
27.0,Wed,2023-10-18,19:00,Grêmio,1.6,1–2,0.9,Ath Paranaense,24679.0,Arena do Grêmio,Luiz Flávio de Oliveira,Match Report,,/en/matches/c77bac6e/Gremio-Athletico-Paranaense-October-18-2023-Serie-A,c77bac6e,2023,1,2
27.0,Wed,2023-10-18,20:00,Coritiba,1.4,0–3,0.4,Cuiabá,20873.0,Estádio Major Antônio Couto Pereira,Denis da Silva Ribeiro Serafim,Match Report,,/en/matches/0eabbbd5/Coritiba-Cuiaba-October-18-2023-Serie-A,0eabbbd5,2023,0,3
27.0,Wed,2023-10-18,20:00,América (MG),2.9,1–2,0.5,Botafogo (RJ),6230.0,Estádio Raimundo Sampaio,Anderson Daronco,Match Report,,/en/matches/3923411b/America-MG-Botafogo-RJ-October-18-2023-Serie-A,3923411b,2023,1,2
27.0,Thu,2023-10-19,19:00,Cruzeiro,0.3,0–2,1.8,Flamengo,37073.0,Estádio Raimundo Sampaio,Rafael Rodrigo Klein,Match Report,,/en/matches/5436d055/Cruzeiro-Flamengo-October-19-2023-Serie-A,5436d055,2023,0,2
27.0,Thu,2023-10-19,19:00,Palmeiras,0.7,0–2,1.1,Atlético Mineiro,27718.0,Allianz Parque,Bruno Arleu,Match Report,,/en/matches/fee7ed8d/Palmeiras-Atletico-Mineiro-October-19-2023-Serie-A,fee7ed8d,2023,0,2
27.0,Thu,2023-10-19,20:00,Santos,1.8,1–3,2.4,Bragantino,12850.0,Estádio Urbano Caldeira,Raphael Claus,Match Report,,/en/matches/f13baba4/Santos-Bragantino-October-19-2023-Serie-A,f13baba4,2023,1,3
27.0,Wed,2023-10-18,21:30,Bahia,2.0,1–0,0.6,Internacional,31385.0,Itaipava Arena Fonte Nova,Marcelo de Lima Henrique,Match Report,,/en/matches/893aead7/Bahia-Internacional-October-18-2023-Serie-A,893aead7,2023,1,0
27.0,Wed,2023-10-18,21:30,Vasco da Gama,2.0,1–0,0.7,Fortaleza,20255.0,Estádio Club de Regatas Vasco da Gama,Leandro Pedro Vuaden,Match Report,,/en/matches/ef6f4d35/Vasco-da-Gama-Fortaleza-October-18-2023-Serie-A,ef6f4d35,2023,1,0
27.0,Wed,2023-10-18,21:30,Goiás,0.5,2–0,0.5,São Paulo,12685.0,Estádio de Hailé Pinheiro,Rodrigo José Pereira de Lima,Match Report,,/en/matches/f8acfdb6/Goias-Sao-Paulo-October-18-2023-Serie-A,f8acfdb6,2023,2,0
27.0,Thu,2023-10-19,21:30,Fluminense,1.9,3–3,2.1,Corinthians,35096.0,Estadio Jornalista Mário Filho,Paulo Zanovelli,Match Report,,/en/matches/592ec54c/Fluminense-Corinthians-October-19-2023-Serie-A,592ec54c,2023,3,3
28.0,Sat,2023-10-21,17:30,Cuiabá,1.3,1–1,1.8,Goiás,,Arena Pantanal,Anderson Daronco,Match Report,,/en/matches/c3d366a4/Cuiaba-Goias-October-21-2023-Serie-A,c3d366a4,2023,1,1
28.0,Sat,2023-10-21,18:30,São Paulo,3.2,3–0,0.1,Grêmio,47132.0,Estádio do Morumbi,André Luiz Skettino Policarpo Bento,Match Report,,/en/matches/61422406/Sao-Paulo-Gremio-October-21-2023-Serie-A,61422406,2023,3,0
28.0,Sat,2023-10-21,18:30,Bahia,1.2,2–0,0.5,Fortaleza,44761.0,Itaipava Arena Fonte Nova,Rodrigo José Pereira de Lima,Match Report,,/en/matches/be062d7b/Bahia-Fortaleza-October-21-2023-Serie-A,be062d7b,2023,2,0
28.0,Sun,2023-10-22,15:00,Botafogo (RJ),0.9,1–1,1.1,Ath Paranaense,,Estádio Nilton Santos,Matheus Delgado Candançan,Match Report,,/en/matches/214e38a6/Botafogo-RJ-Athletico-Paranaense-October-22-2023-Serie-A,214e38a6,2023,1,1
28.0,Sun,2023-10-22,16:00,Atlético Mineiro,0.6,0–1,0.9,Cruzeiro,,Arena MRV,Ramon Abatti,Match Report,,/en/matches/1ce3d6c9/Atletico-Mineiro-Cruzeiro-October-22-2023-Serie-A,1ce3d6c9,2023,0,1
28.0,Sun,2023-10-22,16:00,Internacional,1.6,7–1,1.6,Santos,,Estádio José Pinheiro Borba,Paulo Zanovelli,Match Report,,/en/matches/7d038308/Internacional-Santos-October-22-2023-Serie-A,7d038308,2023,7,1
28.0,Sun,2023-10-22,16:00,Flamengo,0.5,1–0,1.1,Vasco da Gama,69473.0,Estadio Jornalista Mário Filho,Raphael Claus,Match Report,,/en/matches/c9612aa5/Classico-dos-Milhoes-Flamengo-Vasco-da-Gama-October-22-2023-Serie-A,c9612aa5,2023,1,0
28.0,Sun,2023-10-22,18:30,Corinthians,1.3,1–1,0.7,América (MG),38121.0,Neo Química Arena,Yuri Elino Ferreira da Cruz,Match Report,,/en/matches/06b0087f/Corinthians-America-MG-October-22-2023-Serie-A,06b0087f,2023,1,1
28.0,Sun,2023-10-22,18:30,Coritiba,0.6,0–2,1.1,Palmeiras,,Estádio Major Antônio Couto Pereira,Rafael Rodrigo Klein,Match Report,,/en/matches/88fb07de/Coritiba-Palmeiras-October-22-2023-Serie-A,88fb07de,2023,0,2
28.0,Sun,2023-10-22,18:30,Bragantino,2.2,1–0,0.5,Fluminense,,Estádio Nabi Abi Chedid,Wilton Pereira Sampaio,Match Report,,/en/matches/a94f5e66/Bragantino-Fluminense-October-22-2023-Serie-A,a94f5e66,2023,1,0
29.0,Tue,2023-10-24,19:00,Fortaleza,,,,Botafogo (RJ),,Estádio Castelão,,,Match Postponed, , ,2023,,
29.0,Wed,2023-10-25,19:00,Ath Paranaense,3.1,3–2,0.9,América (MG),20672.0,Estádio Joaquim Américo Guimarães,Anderson Daronco,Match Report,,/en/matches/044bc3ec/Athletico-Paranaense-America-MG-October-25-2023-Serie-A,044bc3ec,2023,3,2
29.0,Wed,2023-10-25,19:00,Bragantino,1.9,1–2,1.4,Atlético Mineiro,5494.0,Estádio Nabi Abi Chedid,Marcelo de Lima Henrique,Match Report,,/en/matches/2e52bb7d/Bragantino-Atletico-Mineiro-October-25-2023-Serie-A,2e52bb7d,2023,1,2
29.0,Wed,2023-10-25,19:00,Fluminense,2.7,5–3,0.6,Goiás,,Estadio Jornalista Mário Filho,Leandro Pedro Vuaden,Match Report,,/en/matches/7f35e779/Fluminense-Goias-October-25-2023-Serie-A,7f35e779,2023,5,3
29.0,Wed,2023-10-25,20:00,Cruzeiro,2.0,3–0,0.3,Bahia,,Estádio Raimundo Sampaio,Flavio de Souza,Match Report,,/en/matches/1985c034/Cruzeiro-Bahia-October-25-2023-Serie-A,1985c034,2023,3,0
29.0,Wed,2023-10-25,20:00,Palmeiras,2.4,5–0,0.1,São Paulo,,Allianz Parque,Raphael Claus,Match Report,,/en/matches/8e9362e0/Palmeiras-Sao-Paulo-October-25-2023-Serie-A,8e9362e0,2023,5,0
